Date,Open,High,Low,Close,Volume,ema12,ema26,cross,crossover
2020-01-01 00:00:00,7195.24,7196.25,7178.2,7180.97,202.942868,7180.97,7180.97,0,
2020-01-01 01:00:00,7176.47,7194.04,7175.71,7190.86,103.520522,7181.050992862765,7180.996982112992,1,1.0
2020-01-02 03:30:00,7156.62,7161.0,7137.64,7142.37,433.78861,7203.0031256889,7203.286881686615,0,-1.0
2020-01-03 09:30:00,7310.86,7317.07,7298.08,7310.57,721.812028,7117.578006008078,7114.1115887196665,1,1.0
2020-01-09 04:15:00,7930.08,7954.3,7928.29,7941.35,526.437682,8058.050599410867,8059.112563665454,0,-1.0
2020-01-10 18:15:00,8039.57,8113.53,8038.66,8089.99,2059.714344,7896.063199100424,7894.439110184421,1,1.0
2020-01-13 14:30:00,8075.05,8089.93,8073.0,8089.51,231.389597,8105.208696028055,8105.213638526668,0,-1.0
2020-01-13 20:30:00,8118.73,8149.0,8116.0,8138.55,586.657986,8105.66699194042,8105.011751326237,1,1.0
2020-01-19 13:30:00,8573.47,8637.22,8559.02,8629.68,808.520504,8926.586566705942,8929.553625941191,0,-1.0
2020-01-22 00:00:00,8736.04,8758.08,8736.03,8749.12,304.113987,8682.014501491878,8681.218950469101,1,1.0
2020-01-22 13:30:00,8653.0,8654.28,8636.31,8654.28,384.066643,8690.10949156872,8690.690558801469,0,-1.0
2020-01-26 10:15:00,8419.99,8429.5,8418.64,8426.09,129.568503,8375.603939959037,8374.897130384577,1,1.0
2020-01-31 14:15:00,9295.65,9297.89,9250.0,9255.27,511.525526,9363.628531357745,9364.027500743552,0,-1.0
2020-02-01 01:45:00,9398.21,9435.0,9394.7,9429.86,348.270894,9356.701168594154,9355.42655495568,1,1.0
2020-02-01 15:15:00,9364.02,9375.0,9353.32,9353.85,337.183856,9366.822993019437,9367.024171634204,0,-1.0
2020-02-01 17:00:00,9405.86,9408.0,9381.33,9401.01,303.659306,9367.414419377526,9367.164252740464,1,1.0
2020-02-02 01:45:00,9331.46,9347.81,9328.0,9336.43,183.288723,9368.093151113582,9368.722026802398,0,-1.0
2020-02-02 11:30:00,9419.6,9443.08,9419.6,9432.66,355.615451,9361.13572606247,9360.149472691308,1,1.0
2020-02-03 10:30:00,9325.21,9348.34,9320.12,9337.76,361.903846,9388.155931812595,9388.411458169136,0,-1.0
2020-02-05 11:15:00,9398.21,9406.0,9380.0,9380.13,691.739351,9258.301939629277,9256.955872664686,1,1.0
2020-02-10 10:30:00,9828.72,9866.4,9825.44,9865.09,819.429476,9995.42575465116,9997.109940086964,0,-1.0
2020-02-11 16:30:00,10194.16,10218.0,10175.81,10189.09,1220.973285,9880.901759077135,9879.699192322336,1,1.0
